Dose,Days,pH(KCl),S(w),Ca (w),Fe(w),Zn (w),Sr(w),Ba(w),P(w),K(w),Na (w),Mg(w),F(w),S(m),Ca (m),Fe(m),Zn (m),Sr(m),Ba(m),P(m),K(m),Na (m),Mg(m),FDA,AP,URE,DHA,SIR,SBR,E.fetida,S.alba ,A.sativa ,FDA_n,AP_n,URE_n,DHA_n,SIR_n,SBR_n,E.fetida_n,S.alba _n,A.sativa_n
3,28,4.1,5083.443709,4446.357616,39.54966887,0.211523179,194.7019868,3.695364238,19.25827815,72.38410596,90.64900662,157.8807947,0.6413,942.4814028,1993.557386,10.41113177,5.629981403,137.9848565,22.14731668,37.20111583,42.16259299,7.816817216,60.87274176,30.11,280.15,250.54,16.74,3.32,0.75,7,4.8,2.1,83.22277501,126.7647059,52.48889634,53.59354835,61.14180479,39.89361702,70,93.75,58.33333333
3,28,4.1,5083.443709,4446.357616,39.54966887,0.211523179,194.7019868,3.695364238,19.25827815,72.38410596,90.64900662,157.8807947,0.6413,942.4814028,1993.557386,10.41113177,5.629981403,137.9848565,22.14731668,37.20111583,42.16259299,7.816817216,60.87274176,33.28,265.43,273.16,13.47,3.93,0.9,8,4.7,2.2,91.98452184,120.1040724,57.22785553,43.12455772,72.37569061,47.87234043,80,91.796875,61.11111111
7.5,7,4.1,8672.437,7086.551,32.81,2.172,290.28,2.896,54.194,54.727,160.053,94.035,1.4331,5484.687,5692.41,50.623,3.491,440.213,14.74,82.111,44.031,11.774,64.294,14.01443272,215.2381163,141.7537157,22.42590697,3.822,1.055,9,4.1,3,38.73530325,97.39281282,29.69783702,71.79712841,70.38674033,56.11702128,90,80.078125,83.33333333
7.5,7,4.1,8672.437,7086.551,32.81,2.172,290.28,2.896,54.194,54.727,160.053,94.035,1.4331,5484.687,5692.41,50.623,3.491,440.213,14.74,82.111,44.031,11.774,64.294,14.12,213.5,143.5,23.15,3.38,1.01,9,4.11,3,39.02708679,96.60633484,30.06368893,74.1153312,62.24677716,53.72340426,90,80.2734375,83.33333333
7.5,7,4.1,8672.437,7086.551,32.81,2.172,290.28,2.896,54.194,54.727,160.053,94.035,1.4331,5484.687,5692.41,50.623,3.491,440.213,14.74,82.111,44.031,11.774,64.294,15.31,215.6,140.1,20.11,3.42,1.1,9,4.35,4,42.31619679,97.55656109,29.35137853,64.3826916,62.98342541,58.5106383,90,84.9609375,111.1111111
7.5,7,4,8331.344,7193.262,56.135,1.306,284.52,2.232,38.52,72.463,119.485,150.285,2.154,6963.788,7742.738,67.28,7.584,546.657,11.61,86.421,47.573,13.868,66.743,18.90995461,193.9819323,184.4217269,16.36290318,4.719,0.843,8,3.3,3.2,52.26632008,87.77463002,38.63691589,52.38626302,86.90607735,44.84042553,80,64.453125,88.88888889
7.5,7,4,8331.344,7193.262,56.135,1.306,284.52,2.232,38.52,72.463,119.485,150.285,2.154,6963.788,7742.738,67.28,7.584,546.657,11.61,86.421,47.573,13.868,66.743,16.01,190.7,189.7,16.87,4.51,0.89,8,3.5,3.5,44.25096739,86.28959276,39.74273024,54.00974676,83.05709024,47.34042553,80,68.359375,97.22222222
7.5,7,4,8331.344,7193.262,56.135,1.306,284.52,2.232,38.52,72.463,119.485,150.285,2.154,6963.788,7742.738,67.28,7.584,546.657,11.61,86.421,47.573,13.868,66.743,17.84,201.5,180.5,16.59,4.55,0.9,8,3.6,3.4,49.3090105,91.17647059,37.8153021,53.11331942,83.79373849,47.87234043,80,70.3125,94.44444444
7.5,7,4.2,7789.923,6762.197,59.957,2.086,288.057,2.297,41.002,71.581,124.913,160.624,1.5881,5174.62,5942.415,48.897,2.893,453.579,10.527,82.138,43.408,11.387,57.985,16.22,199.3824567,113.2012194,25.44739607,3.764,0.83,8,3.8,3.1,44.83139856,90.21830621,23.71600172,81.47050489,69.31860037,44.14893617,80,74.21875,86.11111111
7.5,7,4.2,7789.923,6762.197,59.957,2.086,288.057,2.297,41.002,71.581,124.913,160.624,1.5881,5174.62,5942.415,48.897,2.893,453.579,10.527,82.138,43.408,11.387,57.985,17.32,200.8,115.5,24.11,3.71,0.81,8,4,3.2,47.87175235,90.85972851,24.19760329,77.18879634,68.32412523,43.08510638,80,78.125,88.88888889
